PM25,PM10,CO,O3
95.4,124.36,1390,61.94
95.18,155.43,1340,54.4
80.93,138.32,1360,33.94
64.31,101.73,1470,9.81
66.79,104.8,1690,10.88
84.73,107.91,1710,9.26
90.18,132.62,1450,11.66
97.44,141.35,1420,9.77
98.89,137.7,1420,14.86
100.5,151.62,1400,14.66
94.72,129.55,1300,14.94
112.06,141.43,1370,14.68
114.61,144.75,1400,13.79
169.54,213.13,1930,9.12
95.58,159.92,1840,12.03
112.02,126.87,1870,8.56
77.04,134.34,1610,11.85
60.01,121.91,1500,18.2
41.45,86.31,1150,68.3
66.71,113.49,1100,65.8
68.72,116.14,1250,85.56
95.89,139.01,1240,98.24
82.88,144.04,1230,62.27
95.03,169.17,1290,59.34
111.46,189.82,1730,10.07
105.34,239.0,1500,11.23
110.74,309.05,1470,17.57
107.47,0.0,1430,14.11
120.76,0.0,1910,7.97
114.82,117.1,1820,7.53
92.45,141.04,2190,8.73
80.57,135.69,1510,33.09
70.01,138.28,1620,23.14
55.68,113.86,1740,13.81
46.23,83.59,1360,28.99
52.13,100.56,1210,41.37
52.89,122.09,1120,63.32
46.32,107.66,1090,77.21
48.76,109.96,1080,78.16
51.81,98.31,1130,80.37
66.82,104.32,1090,87.4
89.73,114.52,1100,73.91
88.91,138.21,1190,98.4
98.55,140.13,1420,129.6
83.73,152.25,1440,62.84
78.42,121.31,1430,10.19
83.26,138.12,1460,9.2
105.16,113.97,1290,10.62
100.82,143.46,1970,7.92
112.36,221.33,2010,6.22
113.05,251.98,2310,7.09
124.01,257.64,2280,7.77
115.34,154.64,2370,7.62
106.69,199.04,2710,9.97
60.2,75.82,1440,26.53
36.3,50.83,1250,23.02
39.21,52.99,1220,29.02
46.67,67.22,1000,44.1
45.13,59.9,1000,87.12
84.2,151.33,1020,93.04
80.29,139.65,1010,90.46
94.22,152.37,930,101.48
96.35,158.9,1050,100.23
94.02,128.5,1040,60.72
83.56,138.36,1210,11.64
113.65,112.4,1090,7.9
99.44,135.36,940,8.78
109.14,165.42,1080,7.97
103.67,158.65,1360,7.98
103.93,186.61,970,7.24
88.93,151.18,1220,7.81
95.14,138.48,1140,8.04
80.19,133.43,1210,11.45
100.82,194.29,1350,6.39
111.43,233.11,2010,7.23
84.18,146.69,2070,9.21
71.03,136.55,1080,19.48
81.78,132.66,1050,13.88
73.85,122.12,1030,28.65
83.17,137.2,1090,25.99
80.31,137.0,1240,30.95
77.66,133.96,1180,13.01
70.07,129.21,800,44.37
59.8,138.74,650,53.19
44.45,80.2,520,69.38
44.79,79.18,500,63.21
37.66,70.97,480,62.87
51.68,87.6,420,54.87
100.97,177.35,0,80.53
230.78,243.43,400,89.7
90.25,142.23,590,26.49
82.54,96.57,890,10.76
88.08,127.29,630,9.33
101.51,121.56,1130,10.07
99.72,152.86,740,8.19
98.29,152.91,710,10.59
135.82,204.29,650,9.75
105.88,171.39,1260,8.38
113.91,179.66,1680,8.26
120.46,226.9,2300,11.79
127.73,271.52,1910,8.57
150.32,303.67,2140,9.12
97.35,179.77,2670,12.43
95.99,158.95,1660,9.54
105.73,208.36,1580,10.78
123.57,241.88,1700,7.6
68.84,124.34,1450,11.47
61.26,109.01,910,12.81
51.52,95.24,710,22.2
45.36,74.99,690,37.64
37.47,70.84,540,58.65
54.72,96.68,520,58.51
63.75,100.87,660,59.83
70.93,107.04,720,66.9
52.28,113.05,690,84.5
90.74,166.49,950,71.92
99.93,169.07,970,72.88
89.08,155.21,970,55.26
84.14,121.17,980,38.68
80.68,110.31,980,31.15
69.06,100.2,990,28.74
50.7,99.89,970,22.01
136.98,153.21,1090,8.52
109.26,159.72,1380,11.0
94.46,138.09,1610,6.59
95.58,127.11,1090,9.9
95.54,128.06,1260,8.35
85.99,147.44,1310,7.74
100.58,159.57,1340,9.38
97.77,140.16,1430,9.42
106.89,192.06,1880,8.73
87.42,184.31,2390,10.25
60.22,121.39,1510,8.83
61.66,123.16,1490,9.16
84.1,151.72,1050,63.47
98.25,165.85,1140,76.99
104.86,148.07,1580,46.92
92.5,125.59,1530,30.41
81.03,125.7,1340,27.47
70.83,118.83,1370,16.9
65.16,117.3,1310,22.86
85.22,122.97,1220,20.6
82.98,129.45,1290,11.17
75.05,111.26,1230,23.57
123.47,175.26,1220,19.66
133.53,207.23,1280,20.94
72.23,139.79,1690,9.65
71.35,121.01,1290,25.18
62.61,105.05,1380,18.68
66.6,109.65,1470,27.25
